que, 1925, 33601
que, 1726, 538
que, 1706, 72
que, 1758, 220
que, 1756, 155
que, 1637, 3
que, 1899, 91942
que, 1635, 13
que, 1696, 15
que, 1946, 25948
que, 1979, 222819
que, 1887, 20674
que, 1923, 29066
que, 1947, 52469
que, 1654, 1
que, 1751, 960
que, 1815, 4725
que, 1672, 4
que, 1819, 6985
que, 1755, 305
que, 1840, 17982
que, 1846, 21178
que, 1996, 368075
que, 1882, 31113
que, 1989, 274202
que, 1714, 94
que, 2006, 425852
que, 1939, 45083
que, 1966, 204877
que, 2003, 397022
que, 1812, 6503
que, 1875, 45064
que, 1983, 203897
que, 1737, 377
que, 2001, 383064
que, 1724, 84
que, 1709, 28
que, 1732, 306
que, 1873, 35719
que, 1671, 12
que, 1832, 16374
que, 1642, 1
que, 1761, 330
que, 1993, 331375
que, 1951, 63697
que, 1673, 6
que, 1524, 233
que, 1723, 93
que, 1927, 42970
que, 1824, 10939
que, 1901, 31213
que, 1716, 198
que, 1711, 91
que, 1688, 111
que, 1679, 35
que, 1643, 1
que, 1811, 5469
que, 1773, 4156
que, 1692, 11
que, 1844, 26296
que, 1762, 547
que, 1584, 138
que, 1910, 41445
que, 1750, 2281
que, 1920, 44484
que, 1858, 26447
que, 1897, 32482
que, 1890, 20179
que, 1695, 7
que, 1747, 154
que, 1790, 2406
que, 1809, 4417
que, 1658, 729
que, 1715, 68
que, 1821, 6819
que, 1775, 1329
que, 1675, 33
que, 1945, 44763
que, 1959, 90936
que, 1854, 34578
que, 1590, 23
que, 1995, 300146
que, 1965, 154797
que, 1689, 23
que, 1772, 727
que, 1825, 10798
que, 1924, 37231
que, 1823, 18943
que, 1793, 993
que, 1921, 30755
que, 1837, 11395
que, 1998, 342981
que, 1852, 16681
que, 1954, 68161
que, 1930, 35395
que, 1697, 8
que, 1740, 1679
que, 1839, 21526
que, 1718, 67
que, 1799, 6234
que, 1970, 220622
que, 1766, 2157
que, 1908, 37899
que, 1782, 1429
que, 1987, 242115
que, 1886, 36354
que, 1682, 85
que, 1757, 1522
que, 1796, 2254
que, 1659, 11
que, 1777, 3310
que, 1806, 5844
que, 1769, 836
que, 1731, 1419
que, 1926, 37522
que, 1733, 107
que, 1700, 758
que, 2002, 384880
que, 1895, 31031
que, 1836, 15897
que, 1960, 89939
que, 1953, 60589
que, 1789, 982
que, 1878, 14306
que, 1683, 29
que, 1783, 703
que, 1754, 1640
que, 1911, 34562
que, 1660, 4
que, 1971, 223355
que, 1581, 13
que, 1942, 34604
que, 1666, 2
que, 1805, 5480
que, 1973, 227600
que, 1686, 1
que, 1905, 31698
que, 1749, 192
que, 1833, 12788
que, 1912, 41279
que, 1739, 735
que, 1685, 19
que, 1651, 1
que, 1969, 285165
que, 1699, 29
que, 1827, 11235
que, 1918, 23673
que, 1853, 33673
que, 1884, 25538
que, 1968, 184853
que, 1720, 123
que, 2000, 419720
que, 1662, 3
que, 1763, 210
que, 1828, 9229
que, 1505, 57
que, 1948, 50857
que, 1870, 28710
que, 1795, 3391
que, 1857, 31628
que, 1958, 91722
que, 1719, 32
que, 1704, 39
que, 1937, 44747
que, 1676, 20
que, 1736, 71
que, 1735, 350
que, 1776, 1446
que, 1900, 80321
que, 1727, 413
que, 1956, 106555
que, 1999, 394599
que, 1764, 381
que, 1991, 261534
que, 1876, 16943
que, 1752, 223
que, 2005, 434890
que, 1803, 3445
que, 1988, 255160
que, 1786, 908
que, 1624, 1
que, 1705, 98
que, 1936, 66994
que, 1826, 13175
que, 1977, 241034
que, 1944, 19600
que, 1974, 215999
que, 1915, 33931
que, 1938, 55343
que, 1797, 3902
que, 1860, 28549
que, 1734, 230
que, 1864, 31088
que, 1851, 31995
que, 1903, 29658
que, 1657, 1
que, 1950, 44411
que, 1641, 2
que, 1669, 19
que, 2004, 430901
que, 1909, 38549
que, 1785, 910
que, 1667, 3
que, 1680, 14
que, 1863, 23479
que, 1748, 256
que, 1771, 954
que, 1859, 23785
que, 1687, 16
que, 1746, 237
que, 1929, 43001
que, 1564, 8
que, 1855, 39257
que, 1768, 528
que, 1694, 84
que, 1710, 91
que, 1818, 7321
que, 1967, 168724
que, 1630, 1
que, 1981, 210937
que, 1962, 120008
que, 1935, 64937
que, 1738, 147
que, 1774, 389
que, 1753, 574
que, 1788, 3176
que, 1678, 9
que, 1856, 30655
que, 1916, 36584
que, 1814, 14336
que, 1984, 237869
que, 1817, 10071
que, 2007, 442880
que, 1888, 23573
que, 1816, 7515
que, 1781, 620
que, 1869, 20856
que, 1743, 222
que, 1957, 77417
que, 1997, 349451
que, 1847, 36874
que, 1759, 1411
que, 1572, 3
que, 1784, 634
que, 1681, 34
que, 1507, 24
que, 1701, 56
que, 1760, 330
que, 1964, 137866
que, 1934, 50086
que, 1792, 2203
que, 1913, 29790
que, 1708, 63
que, 1807, 8235
que, 1652, 1
que, 1745, 129
que, 1955, 73653
que, 1894, 15771
que, 1656, 3
que, 1801, 2897
que, 1690, 4
que, 1802, 1247
que, 1842, 10582
que, 1879, 22890
que, 1880, 27508
que, 1906, 50171
que, 1638, 2
que, 1664, 2
que, 1703, 46
que, 1845, 26145
que, 1976, 241572
que, 1932, 42228
que, 1868, 21710
que, 1849, 35165
que, 1877, 30267
que, 1808, 7856
que, 1831, 18213
que, 1800, 4176
que, 1712, 55
que, 1648, 8
que, 1904, 60314
que, 1742, 124
que, 1980, 205160
que, 1804, 4510
que, 1975, 184504
que, 1721, 212
que, 1644, 6
que, 1770, 1059
que, 1883, 43918
que, 1982, 208430
que, 1791, 1252
que, 1767, 820
que, 1861, 28696
que, 1794, 1329
que, 1986, 282958
que, 1889, 16363
que, 1893, 24860
que, 1848, 24169
que, 1702, 68
que, 1778, 847
que, 1972, 229153
que, 1612, 2
que, 1867, 20301
que, 1931, 37237
que, 1898, 62956
que, 1941, 37525
que, 1822, 8493
que, 1631, 424
que, 1917, 68656
que, 1810, 3769
que, 1741, 113
